#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
A,lf-git,"is an extensive terminal file manager that everyone likes."
,bc,"is used for a dropdown calculator."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
G,acpilight,"better that xorg-xbacklight"
,arandr,"allows the user to customize monitor arrangements."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,pipewire,"is the audio system."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pamixer,"is a command-line audio interface."
,alsa-utils,"Advanced Linux Sound Architecture"
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,bluez,"Bluetooth daemon"
,bluez-utils,"Bluetooth daemon utilities"
,p7zip,"7zip"
,maim,"can take quick screenshots at your request."
A,abook,"is an offline addressbook usable by neomutt."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
A,htop-vim-git,"is a graphical and colorful system monitor."
G,https://github.com/shubmehetre/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/shubmehetre/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/shubmehetre/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/shubmehetre/dwm.git,"is the window manager."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,thunar,"Lightweight file explorer."
,neofetch,"shows all system info along with distro logo ascii art."
,cmatrix,"makes the kids go woahhh! thats coool."
,tldr,"quick cheatsheet for *nix commands."
,ncdu,"disk usage analyzer."
,lxappearence,"gtk theme switcher."
,arc-gtk-theme,"theme."
,arc-icon-theme,"icon theme."
,kvantum-qt5,"qt theme."
,w3m,"Terminal pager and web browser."
,urlscan,"Mutt and terminal URL selector."
,cronie,"cron job scheduler."
,mlocate,"locate and updatedb merged implementation."
,alacritty,"simple, quick, gpu accelerated terminal emulator."
,python-pip,"python's pip installer."
,foliate,"ebook reader."
,ripgrep,"debloated grep. needed for nvim's telescope."
P,neovim,"Provider for python files"
,rclone,"file sync master"
,jq,"command-line JSON processor"
,pinta,"ms paint alternative"
,exa,"ls but with color"
,npm,"a package manager for javascript"
,rsync,"File coping tool"
,socat,"Multipurpose relay"
,qbittorrent,"Modern GUI torrent client"
,acpi,"client for battery, thermal, etc readings"
,lsof,"List open files"
,pynvim,"Neovim python support"
